turns,victory_status,winner,moves
56,mate,black, e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 d4f5 f6e4 b1c3 e4c3 b2c3 c8f5 c3c4 e7e6 c1a3 f8e7 f1d3 f5d3 c2d3 d8a5 d1d2 a5a3 e1g1 e8g8 d2c1 a3d3 f1d1 d3g6 h2h4 b8d7 c1g5 e7g5 h4g5 g6g5 c4c5 d7c5 a1b1 b7b6 d1d2 c5e4 d2d1 g5f5 d1c1 f5f2 g1h1 e4g3 h1h2 a8c8 c1g1 c8c2 b1b2 c2b2 g1f1 f2g2
95,mate,white, e2e4 g7g6 g1f3 f8g7 f1c4 g8f6 d2d4 b7b6 c2c3 b8c6 e4e5 c8b7 e5f6 g7f6 e1g1 e8g8 c1h6 f8e8 d1b3 e7e6 f3e5 c6e5 d4e5 f6e5 f1e1 e5g7 h6g7 g8g7 b1a3 d7d5 c4b5 c7c6 b5d3 c6c5 c3c4 d5d4 a3b5 d8g5 d3e4 f7f5 e4b7 a8b8 b5d6 b8d8 d6e8 d8e8 b7d5 e6d5 e1e8 d5c4 b3c4 g5d2 c4g8 g7h6 g8f8 h6g5 f8e7 g5h6 f2f4 d2f4 g2g3 f4e3 g1g2 e3e7 e8e7 g6g5 e7a7 b6b5 a7a5 b5b4 a5c5 f5f4 a2a4 h6h5 a4a5 d4d3 c5d5 f4g3 h2g3 h5g4 d5d4 g4f5 d4d3 f5e6 a5a6 h7h5 a6a7 g5g4 a7a8q e6f5 a1a5 f5g6 d3d6 g6f7 a5a7
60,mate,black, g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 d2d4 d7d6 e2e3 e8g8 f1d3 c7c5 e1g1 a7a6 f1e1 e7e6 b2b3 b7b6 c1b2 c8b7 a1b1 b8d7 e3e4 c5d4 f3d4 d6d5 e4d5 e6d5 c3a4 d7c5 d3c2 c5a4 b3a4 d5c4 d4f3 d8d1 b1d1 b7f3 g2f3 b6b5 b2a3 f8e8 a3e7 f6h5 c2e4 a8a7 e4c6 e8e7 e1e7 a7e7 a4b5 a6b5 c6b5 c4c3 d1d8 g7f8 b5d3 h5f4 d3c2 e7e1
56,mate,black, g1f3 d7d5 c2c4 d5d4 e2e3 d4e3 f2e3 b7b6 d2d4 c8b7 b1c3 e7e6 f1d3 f8b4 d1a4 b8c6 e1g1 b4c3 b2c3 g8e7 f3e5 e8g8 c1a3 c6e5 d3h7 g8h7 d4e5 f8h8 a4b4 e7c6 b4b1 g7g6 f1f7 h7h6 b1e4 d8g5 h2h4 g5g3 f7c7 c6d8 c7b7 d8b7 e4b7 g3e3 g1h1 g6g5 a3c1 e3e1 h1h2 e1h4 h2g1 h4e1 g1h2 h6g6 b7h7 h8h7
36,draw,draw, e2e4 c7c5 d2d4 c5d4 d1d4 b8c6 d4a4 g8f6 g1f3 e7e6 b1c3 d7d5 c1g5 f8e7 f1b5 c8d7 e4e5 f6h5 g5e7 d8e7 g2g4 a7a6 g4h5 e8g8 b5c6 d7c6 a4d4 f7f6 h1g1 c6e8 h5h6 e8g6 d4e3 e7b4 e1c1 a8c8
98,draw,draw, g1f3 e7e6 c2c4 d7d5 c4d5 e6d5 e2e3 g8f6 d2d4 f8d6 b1c3 c7c6 f1d3 c8g4 e1g1 e8g8 h2h3 g4h5 f1e1 f8e8 e3e4 d5e4 c3e4 f6e4 d3e4 b8d7 d1c2 h5g6 e4g6 h7g6 c1g5 d7f6 f3e5 d8c7 e5f3 f6d5 a2a3 d6f4 h3h4 f4g5 f3g5 c7f4 g2g3 f4f5 c2b3 b7b6 g1g2 f7f6 g5h3 g8h7 a1c1 f5d7 b3d3 e8e6 h4h5 e6e1 h5g6 h7g8 c1e1 a8e8 e1e8 d7e8 h3f4 d5f4 g3f4 e8e6 f4f5 e6d5 f2f3 g8f8 d3e4 a7a6 e4h4 c6c5 h4h8 d5g8 h8g8 f8g8 d4c5 b6c5 g2f2 g8f8 f2e3 f8e7 e3e4 e7d6 a3a4 a6a5 b2b3 d6c6 f3f4 c6d6 e4e3 d6d5 e3d3 d5d6 d3c4 d6c6
64,mate,black, g1f3 c7c5 c2c4 b8c6 b1c3 g7g6 e2e3 f8g7 d2d4 c5d4 e3d4 d7d6 f1d3 g8f6 e1g1 e8g8 c1g5 a7a6 a2a3 d8b6 g5f6 g7f6 c3d5 b6b2 d5f6 e7f6 d4d5 c6e5 f3e5 f6e5 d1f3 g8g7 h2h4 f7f5 h4h5 e5e4 h5h6 g7g8 d3e4 f5e4 f3g3 b2e5 g3b3 f8f5 f1e1 f5h5 f2f3 e5h2 g1f2 c8h3 e1g1 a8f8 b3b7 e4e3 f2e2 h5h6 b7c6 h2g3 g2h3 g3f2 e2d3 h6h4 c6d6 f2d2
133,draw,draw, e2e4 c7c5 g1f3 b8c6 b1c3 e7e6 d2d4 c5d4 f3d4 g8f6 c1g5 f8e7 d4c6 b7c6 e4e5 f6d5 g5e7 d5e7 c3e4 d8a5 d1d2 a5e5 f1d3 e8g8 e1g1 d7d5 e4c3 e7f5 a1e1 e5f6 b2b3 e6e5 e1d1 e5e4 d3e2 f6g6 d2f4 f8e8 h2h3 f5h6 f4g3 e8e6 g3g6 e6g6 g1h2 c8d7 c3a4 h6f5 a4c5 d7e6 c5e6 f7e6 e2g4 f5h4 g2g3 h4f3 g4f3 e4f3 d1d3 a8f8 f1e1 g8f7 d3c3 f7e8 c3c6 e8d7 c6a6 f8a8 e1e3 g6f6 c2c3 h7h6 g3g4 g7g6 h2g3 g6g5 e3f3 f6f3 g3f3 d7e7 f3g3 e7f6 a6a4 f6e5 f2f4 g5f4 a4f4 a8c8 f4f3 e5e4 h3h4 e6e5 g4g5 c8g8 g3g4 h6g5 h4g5 g8g5 g4g5 e4f3 c3c4 d5c4 b3c4 e5e4 c4c5 e4e3 c5c6 e3e2 c6c7 e2e1q c7c8q e1e3 g5f6 e3d4 f6e7 d4e5 c8e6 e5c5 e6d6 c5g5 e7d7 g5g7 d7c8 g7g8 c8b7 g8a2 d6c6 f3e3 c6c5 e3d3 c5a7 a2a7 b7a7
52,mate,black, g1f3 d7d5 c2c4 d5d4 e2e3 d4e3 f2e3 c7c5 d2d4 c5d4 e3d4 g8f6 b1c3 e7e6 a2a3 b8c6 f1e2 f8e7 e1g1 e8g8 c1g5 h7h6 g5h4 f6g4 h4e7 c6e7 d1d3 e7f5 d4d5 d8b6 f3d4 g4e5 d3d2 f5d4 g1h1 d4b3 d2f4 e5g6 f4f3 b3a1 f1a1 b6b2 a1f1 b2a3 e2d1 c8d7 d1c2 a8c8 d5e6 f7e6 f3b7 f8f1
40,mate,black, e2e4 c7c5 g1f3 b8c6 b1c3 g8f6 f1c4 e7e6 a2a3 d7d5 e4d5 e6d5 d1e2 f8e7 c4a2 e8g8 e1g1 f8e8 d2d4 c6d4 f3d4 c5d4 c3a4 e7a3 b2a3 e8e2 c1g5 e2c2 f1d1 d8d6 d1d4 f6e4 g5e3 d6a3 a2d5 a3a1 e3c1 a1c1 d4d1 c1d1
57,mate,white, g1f3 b8c6 c2c4 e7e5 b1c3 f7f5 e2e4 f5f4 d2d4 d7d6 d4e5 c8g4 e5d6 g8f6 c1f4 g4f3 d1f3 f8d6 a1d1 e8g8 c4c5 d6f4 d1d8 a8d8 f3f4 c6d4 f1c4 g8h8 e1g1 f6h5 f4c7 h5f4 c7b7 f8f6 c3d5 f4d5 c4d5 d8f8 c5c6 f6g6 e4e5 g6g5 c6c7 d4e2 g1h1 g5e5 c7c8q e2g3 h2g3 e5h5 h1g1 h7h6 c8f8 h8h7 d5e4 h5f5 e4f5
51,mate,white, e2e4 e7e5 g1f3 b8c6 f1c4 h7h6 b1c3 g8f6 d2d4 f8b4 c1d2 e8g8 a2a3 b4c3 d2c3 f6e4 d1d3 e4c3 b2c3 e5d4 c3d4 d8e7 e1d2 d7d6 h1e1 e7d7 f3h4 d7g4 h4g6 g4g5 f2f4 g5g2 e1e2 g2g4 g6f8 g4f4 d2c3 c8f5 d3e3 f4g4 c4f7 g8f7 d4d5 c6a5 e3e7 f7g8 f8e6 g4c4 c3b2 c4e2 e7g7
99,draw,draw, e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 f8b4 f1e2 g8f6 d1d3 b7b6 d4c6 d7c6 d3d8 e8d8 c1g5 b4c3 b2c3 d8e7 e4e5 h7h6 e5f6 g7f6 g5f4 e6e5 f4g3 c8e6 e2f3 a8c8 a2a4 a7a5 e1g1 e6f5 a1a2 c6c5 h2h3 c8d8 f1d1 d8d1 f3d1 h8d8 d1g4 f5g6 a2b2 d8d6 f2f4 d6d2 f4f5 g6h7 g3e1 d2d6 g1f2 h6h5 g4h5 h7f5 f2e3 e7d8 h5f7 d8c7 g2g4 d6d7 f7e8 d7e7 e8b5 f5h7 e1h4 e7f7 b5c4 f7f8 c4d3 f6f5 d3f5 h7f5 g4f5 f8f5 h4g3 c7c6 e3e4 f5h5 g3e5 h5h3 e4f4 h3h4 f4f5 h4a4 b2b1 a4h4 f5g5 h4e4 g5f5 e4h4 f5g5 h4e4 g5f5 e4h4 f5g5
65,mate,white, e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 c2c3 g8f6 c1g5 f8e7 g1f3 e8g8 b1d2 c8g4 f1d3 b8d7 d1c2 f8e8 e1c1 c7c5 d1e1 c5d4 f3d4 h7h6 g5f6 d7f6 h2h3 g4d7 g2g4 f6h7 c1b1 h7f8 f2f4 e7h4 e1e8 d8e8 d2f3 h4g3 f4f5 a8c8 h3h4 e8e3 g4g5 h6h5 f5f6 g7g6 h1f1 d7g4 f3d2 g3e5 d2b3 f8e6 d3g6 e6d4 g6f7 g8f7 c2h7 f7f8 h7e7 f8g8 f6f7 g8h7 f7f8q e5g7 f8g7
114,draw,draw, e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 b1c3 f8c5 d2d3 a7a6 c1g5 d7d6 d1d2 c8g4 e1c1 c6d4 h2h3 d4f3 g2f3 g4f3 c3d5 f3d1 d2d1 h7h6 g5f6 g7f6 d1f3 e8g8 h1g1 g8h8 f3g3 f8g8 g3h2 g8g1 h2g1 c7c6 d5c3 d8d7 g1g2 a8g8 g2f3 b7b5 c4b3 g8g1 c1d2 g1f1 f3f6 h8g8 f6g6 g8f8 g6h6 f8e8 h6h8 e8e7 h8h4 e7e8 f2f4 f1f4 h4h8 e8e7 c3e2 f4f2 h8h7 d7e8 c2c3 a6a5 a2a4 b5b4 h7h4 e7d7 d3d4 b4c3 b2c3 e5d4 c3d4 c5d4 d2d3 d4c5 e2d4 c5b4 h4f2 b4c5 f2f5 d7c7 b3f7 e8h8 d4e6 c7b6 d3c4 c5b4 f5f2 b6b7 f2d4 h8h3 d4f6 h3a3 f6e7 b7a8 e6c7 a8b8 c7a6 b8a8 e7d8 a8a7 d8b8 a7a6 b8a8 a6b6 a8b8 b6a6 b8a8 a6b6 a8b8 b6a6
72,draw,draw, g1f3 d7d5 c2c4 c7c6 d2d4 c8g4 e2e3 g8f6 b1c3 e7e6 c4d5 c6d5 a2a3 f8d6 h2h3 g4h5 f1e2 e8g8 e1g1 d8c7 b2b4 c7c3 c1d2 c3c7 a1c1 c7e7 g2g4 h5g6 f3h4 g6e4 f2f3 e4g6 g4g5 f6h5 e3e4 d5e4 f3e4 g6e4 e2h5 b8c6 d1g4 e4d3 f1e1 a8d8 g4f3 d3g6 d4d5 c6e5 e1e5 d6e5 c1e1 d8d5 h5g6 f7g6 f3e4 e5h2 g1h2 d5d2 h2h1 e7g5 e4e6 g8h8 e6e8 g5d5 h1g1 d5d4 g1h1 d4d5 h1g1 d5g5 g1h1 g5d5
59,mate,white, d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1d2 b7b6 a2a3 b4e7 e2e4 d7d5 c4d5 e6d5 e4e5 f6d7 g1f3 c8b7 f1d3 e8g8 e1g1 c7c5 d1c2 g7g6 c3b5 b8c6 b2b4 c5d4 f3d4 a8c8 e5e6 c6d4 c2a4 d4b5 e6d7 d8d7 d3b5 d7g4 a4a7 c8c7 a1c1 f8c8 c1c7 c8c7 a7b8 g4c8 b8c8 c7c8 f1e1 e7f6 b5a4 g8f8 d2h6 f6g7 h6e3 d5d4 e3f4 c8c3 e1e8
64,mate,black, e2e4 e7e5 g1f3 b8c6 f1c4 h7h6 b1c3 f8c5 d2d3 d7d6 h2h3 g8f6 c1e3 c8e6 d1d2 c5b6 e1c1 c6d4 f3d4 e5d4 e3d4 b6d4 f2f4 f6h5 g2g4 h5g3 h1e1 d4f2 d2f2 d8h4 f2d4 e8g8 g4g5 h6g5 f4g5 h4g5 c1b1 e6h3 e1g1 g5h4 c3e2 g3h5 g1h1 h4g4 e2c3 b7b6 d1g1 g4f3 c3d5 c7c5 d5e7 g8h8 d4c3 a8e8 e7f5 e8e5 f5d6 f7f6 c3a3 h3g2 h1h2 g2f1 a3a7 f3d1
46,mate,black, e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 d4c6 b7c6 b1c3 c8b7 f1d3 g8f6 h2h3 f8b4 c1d2 d8c7 a2a3 b4e7 e1g1 e8g8 f1e1 a8b8 c3e2 c6c5 d2f4 e7d6 e4e5 d6e5 f4e5 c7e5 b2b3 e5g5 e2g3 d7d5 d3b5 d5d4 f2f3 g5g3 a3a4 f6h5 d1d3 h5f4 g1h1 g3g2
113,mate,white, e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b1c3 d7d6 h2h3 h7h6 d2d3 a7a6 c1e3 c5e3 f2e3 c6a5 c4d5 c7c6 d5f7 e8f7 f3d2 d8h4 e1e2 h4h5 e2f2 h5h4 g2g3 h4f6 f2g2 f7e7 h1f1 f6g6 b2b4 g8f6 d1f3 h8f8 f3e2 c8e6 d2f3 f6h5 e2e1 a5c4 d3c4 e6c4 f3h4 g6e6 f1f8 a8f8 a1d1 c4a2 h4f5 e7d7 c3a4 f8f5 a4c5 d7e7 c5e6 a2e6 e4f5 e6f5 e1d2 f5e4 g2f2 e4d5 c2c4 d5c4 d2d6 e7f7 d6e5 h5f6 e5c7 f7g6 c7b7 c4b5 d1d6 g6f5 b7g7 f6e4 f2f3 e4d6 g7h6 f5e5 h6f4 e5d5 h3h4 d6c4 h4h5 d5e6 h5h6 c4e5 f3g2 e5f7 h6h7 e6e7 f4f7 e7f7 h7h8q f7e6 h8d4 e6f5 g2f3 f5g5 d4f4 g5g6 e3e4 g6h5 e4e5 h5g6 f4f6 g6h5 f3f4 b5d3 g3g4
68,mate,black, d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4e7 e2e4 d7d5 e4e5 f6e4 c3e4 d5e4 d1g4 g7g6 g4e4 b8c6 c1e3 b7b6 g1e2 c8b7 e4g4 e8g8 e2g3 f8e8 f1d3 e7f8 d3e4 a8b8 e4d3 c6e7 g3h5 f8g7 e1g1 c7c5 h5f6 g7f6 e5f6 e7f5 d3f5 e6f5 g4h4 h7h5 d4c5 b6c5 e3c5 b8c8 c5e7 d8d2 f2f4 g8h7 f1f2 d2e3 a1f1 c8c4 h2h3 c4f4 g2g4 f5g4 h3g4 f4g4 h4g4 h5g4 g1h2 e3h3 h2g1 h3h1
69,draw,draw, e2e4 g8f6 b1c3 d7d5 f1d3 c8g4 f2f3 g4d7 e4d5 c7c6 d5c6 d7c6 d3b5 c6b5 c3b5 d8d5 b5c7 e8d7 c7d5 f6d5 c2c4 d5f4 d1a4 b8c6 d2d3 f4d3 e1f1 d3c1 a1c1 a7a6 c1d1 d7c7 a4c2 a8d8 d1d8 c6d8 f1f2 e7e6 g1e2 f8c5 f2g3 d8c6 h1d1 h8d8 d1d8 c7d8 c2h7 c5d6 g3h3 d8c7 h7g7 c6e5 g7f6 e5c4 f6f7 c7c6 f7e6 c4b2 e2d4 c6c5 d4b3 c5c6 b3d4 c6c5 d4b3 c5b5 e6e8 b5c4 b3a5
15,mate,white, e2e4 e7e6 g1f3 b8c6 b1c3 d7d6 f1c4 e6e5 a2a3 c8g4 d2d3 g4f3 d1f3 c6d4 f3f7
60,mate,black, d2d4 g7g6 g1f3 f8g7 c2c4 c7c5 d4c5 d8a5 f3d2 a5c5 e2e3 g8f6 f2f3 c5e3 d1e2 e3c5 d2e4 c5d4 e4f6 d4f6 b1c3 e8g8 c3d5 f6h4 g2g3 h4d4 d5e7 g8h8 e7c8 f8c8 e2e7 b8c6 e7f7 c6e5 f7f4 d4f4 g3f4 e5f3 e1f2 f3d4 c1e3 d4c2 a1c1 c2e3 f2e3 g7b2 c1b1 c8e8 e3f2 b2d4 f2f3 b7b6 f3g4 e8e3 g4g5 a8f8 b1c1 f8f5 g5h6 d4g7
37,mate,white, e2e4 c7c5 g1f3 g8f6 e4e5 f6e4 f1c4 d7d5 d2d3 d5c4 d3e4 d8d1 e1d1 c8g4 b1c3 b8a6 c3b5 a8d8 c1d2 e7e6 b5a7 g7g5 d1c1 f8g7 d2g5 d8d7 h1d1 d7d1 c1d1 g4f3 g2f3 g7e5 d1e1 c4c3 a1d1 c3b2 d1d8
54,mate,black, e2e4 c7c5 h2h4 g8f6 f2f3 d7d6 f1b5 c8d7 b5d7 d8d7 g2g3 d7e6 b2b3 f6h5 g1e2 e6e5 c2c3 e7e6 h1g1 g7g5 b1a3 g5h4 g3h4 e5h2 g1g5 h2h1 g5g1 h1h4 g1g3 h5g3 e2g3 h4g3 e1f1 h8g8 f1e2 h7h5 a3b5 d6d5 d2d4 c5d4 b5d4 h5h4 d1d3 g3g2 e2d1 h4h3 c1f4 g2f2 d3b5 b8d7 d1c1 g8g1 b5f1 g1f1
48,mate,black, e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 f1c4 b7b5 c4d3 c5c4 d3e2 b8c6 e1g1 c8b7 d2d3 g8e7 d3c4 b5c4 e2c4 a8c8 d1d3 e7g6 c1g5 f7f6 g5e3 c6e5 d3d2 e5c4 d2c1 c4e3 f2e3 d8b6 f1e1 f8c5 c3d1 b7e4 d1c3 e4f3 g2f3 e8g8 c3a4 b6b7 a4c5 c8c5 c2c4 b7f3 e1f1 c5g5
38,mate,black, e2e4 b8c6 g1f3 e7e5 f1c4 d7d6 e1g1 c8e6 d2d3 e6c4 d3c4 d8f6 c1g5 f6e6 b2b3 h7h6 d1d5 e6g4 b1c3 h6g5 a1d1 e8c8 d5f7 g8h6 f7d5 c6b4 d5d2 d6d5 f3e5 g4h5 c3d5 b4d5 e4d5 g5g4 d5d6 h6f5 e5f7 h5h2
64,draw,draw, d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 a2a3 c6c5 d4c5 f8c5 g1f3 b8c6 f1d3 e6e5 c4d5 f6d5 c3d5 d8d5 e1g1 e5e4 d3e4 d5e4 b2b4 c5e7 c1b2 e8g8 d1c1 f8d8 f1d1 c8g4 c1c3 e7f6 d1d8 a8d8 c3c1 g4f3 b2f6 g7f6 g2f3 e4f3 c1c4 d8f8 b4b5 c6e5 c4c5 f3g4 g1f1 g8h8 c5f8 g4g8 f8h6 e5f3 h6f6 g8g7 f6f3 g7a1 f1g2 a1g7 g2f1 g7a1 f1g2 a1g7
19,mate,white, e2e4 e7e5 g1f3 g8f6 f1c4 f6e4 f3e5 d8e7 d1e2 e7e5 e1g1 f8c5 f1e1 c5f2 g1f1 e5h2 e2e4 e8d8 e4e7
27,mate,white, e2e4 g8f6 b1c3 d7d5 d2d3 e7e5 e4d5 f6d5 g1f3 d5f4 c1f4 e5f4 d1e2 c8e6 f3e5 f8d6 c3d5 e6d5 e5c6 e8d7 c6d8 d7d8 e1c1 d5a2 d1e1 h8e8 e2e8
64,mate,black, e2e3 c7c5 g2g4 b8c6 d2d4 d7d6 c2c4 g8f6 h2h3 e7e5 f1e2 d6d5 d1a4 c8d7 d4e5 c6e5 a4b3 d5c4 b3b7 e5d3 e2d3 c4d3 b7b3 d7c6 f2f3 d8a5 b1c3 f8d6 b3d1 d6g3 e1f1 c6b5 a2a4 d3d2 f1g2 d2c1q d1c1 g3e5 c3b5 a5b4 f3f4 e5b2 b5c7 e8f8 c7a8 b2c1 a1c1 b4b2 g1e2 b2e2 g2g1 e2e3 g1f1 e3c1 f1g2 c1c2 g2g1 g7g6 g4g5 f8g7 a8c7 f6e4 c7b5 c2f2
45,mate,white, d2d4 b8c6 e2e3 d7d5 f2f4 g8f6 b2b3 c8g4 g1e2 f6e4 h2h3 e4g3 h1g1 g4h5 d1d3 h5g6 d3b5 g3f1 b5b7 f1e3 b7c6 d8d7 c6a8 d7d8 a8c6 d8d7 c6a6 e3c2 e1d1 c2a1 c1b2 g6b1 b2a1 b1f5 e2c3 d7e6 a6b7 e6e3 c3d5 e3g1 d1d2 g1g2 d2c3 e7e6 b7c8
72,mate,black, e2e4 b8c6 g1f3 e7e5 b1c3 g8f6 f1b5 a7a6 b5c6 d7c6 f3e5 d8d4 e5f3 d4c4 d2d3 c4e6 f3g5 e6d6 g5h3 c8h3 g2h3 e8c8 d1e2 g7g6 e4e5 d6d7 e5f6 d8e8 c3e4 d7h3 e2f1 h3f3 e1d2 f8h6 d2c3 e8e4 c1h6 f3f6 c3d2 e4e6 a1e1 g6g5 e1e6 f7e6 h6g5 f6g5 d2e1 h8f8 h1g1 g5e5 e1d1 e5h2 g1g2 h2h5 d1e1 h5e5 f1e2 e5b2 e2e6 c8b8 e6e7 b2h8 g2g7 f8e8 g7h7 e8e7 e1d1 e7h7 f2f4 h7h2 d1c1 h8a1
35,mate,white, a2a3 d7d5 g1f3 e7e6 d2d4 f8d6 b1d2 g8f6 e2e3 e8g8 c2c4 b8c6 b2b4 d5c4 d2c4 f8e8 c1b2 f6h5 f1e2 g7g6 f3d2 e6e5 e2h5 g6h5 d1h5 e5d4 e1g1 d4e3 f2e3 d8e7 b2f6 e7e6 h5g5 g8f8 g5g7
63,mate,white, a2a3 d7d5 g1f3 b8c6 e2e3 c8g4 f1e2 g8f6 e1g1 e7e6 d2d4 f6e4 b1d2 e6e5 d2e4 d5e4 f3e5 g4e6 e5c6 d8d7 c2c4 b7c6 d1b3 f8d6 d4d5 e6g4 d5c6 d7e6 b3b7 a8d8 e2g4 e6g4 b7a7 g4h5 g2g3 h5e2 c4c5 d6e5 a7a5 d8d1 f1d1 e2d1 g1g2 e8g8 a5d2 d1h5 a1b1 g7g5 b2b4 f7f5 d2d5 g8g7 d5e5 g7g6 c1b2 f5f4 e5g7 g6f5 g7f8 f5g4 e3f4 g5f4 f8f4
59,mate,white, e2e4 b8c6 d2d4 c6b8 c2c4 b8c6 d4d5 c6b8 b2b3 b8a6 b1c3 a6b8 g1f3 b8a6 c1f4 a6b8 c3b5 b8a6 f1d3 d7d6 e1g1 a6b8 e4e5 b8a6 e5d6 c7d6 f1e1 a6b8 f4d6 b8c6 d6g3 d8d6 g3d6 c6d4 f3d4 c8h3 g2h3 a8c8 d6g3 c8c4 d3c4 g8h6 b5d6 e8d7 d6b7 d7e8 d5d6 e8d7 d6e7 d7e8 e7f8q e8d7 f8h8 h6g8 h8g8 g7g5 g8f7 d7c8 e1e8
64,mate,black, g1f3 c7c6 e2e3 d7d5 c2c4 e7e6 b1c3 g8f6 d2d4 f8b4 a2a3 b4c3 b2c3 f6e4 f3e5 d8a5 c1d2 e4d2 d1d2 b8d7 d2b2 d7e5 d4e5 d5c4 f1c4 a5e5 e1g1 e8g8 a1d1 b7b5 c4b3 a7a6 b3c2 c6c5 f1e1 c8b7 f2f4 e5f6 e1e2 c5c4 e2d2 f6h4 g2g3 h4g4 a3a4 g4f3 a4b5 f3h1 g1f2 h1h2 f2f1 h2h1 f1f2 h1f3 f2e1 f3e3 d2e2 e3g1 e1d2 f8d8 c2d3 d8d3 d2c2 g1d1
70,mate,black, a2a3 c7c6 g1f3 d7d5 e2e3 c8f5 d2d4 e7e6 b1d2 g8f6 g2g3 f8d6 f3h4 f5g4 f2f3 g4h5 g3g4 f6g4 f3g4 d8h4 e1e2 h5g4 d2f3 h4h5 f1g2 c6c5 e2f2 c5d4 e3d4 e8g8 d1d3 b8c6 c1e3 f7f5 h2h3 g4f3 g2f3 h5h4 f2e2 e6e5 f3d5 g8h8 a1g1 e5e4 d3d2 f5f4 g1g4 f4f3 e2f1 h4f6 d5e4 c6e7 e3g5 f6f7 g5e7 d6e7 e4b7 f7c4 f1f2 a8b8 b7e4 b8b2 e4d3 c4d4 d2e3 e7c5 e3d4 c5d4 f2f1 b2b1
19,mate,white, e2e4 b8c6 d2d4 c6d4 d1d4 a7a5 f1c4 a8a6 c4a6 b7a6 g1f3 c8b7 d4c4 d8a8 f3e5 b7e4 c4f7 e8d8 f7f8
15,mate,white, e2e4 b8c6 d2d3 c6d4 g1f3 d4f3 d1f3 g8f6 e4e5 f6g8 d3d4 a7a5 f1c4 a8a6 f3f7
11,mate,white, e2e4 b8c6 d1h5 c6d4 f1c4 d4c2 e1d1 c2e3 d2e3 a7a5 h5f7
13,mate,white, e2e4 b8c6 f1c4 c6a5 b1a3 a5c4 a3c4 a7a5 c4e5 a8a6 d1f3 a6b6 f3f7
11,mate,white, e2e4 b8c6 d1f3 c6d4 f3f4 d4c2 e1d1 a7a6 f1c4 c2d4 f4f7
41,mate,white, e2e4 e7e5 b1c3 g8f6 g1f3 f8d6 d2d4 d8e7 d4e5 d6e5 c1g5 d7d6 c3d5 e7d8 f1c4 h7h6 g5f6 e5f6 e1g1 e8g8 d1d2 f8e8 a1e1 f6b2 c2c3 b2a3 e4e5 a3c5 d5f6 g7f6 e5f6 e8e1 f1e1 b8c6 d2h6 d8f8 h6g5 g8h8 e1e8 f8e8 g5g7
54,mate,black, d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 g1f3 c8f5 e2e3 e7e6 f3e5 f8d6 f1b5 b8c6 e5c6 b7c6 b5c6 f6d7 c6a8 d8a8 e1g1 e8g8 a2a3 d7f6 b2b4 f8c8 c1d2 a8c6 a1c1 c6b6 d1b3 b6b8 a3a4 d6h2 g1h1 h2d6 c3b5 c8c1 f1c1 h7h5 b5d6 b8d6 b4b5 f6e4 d2b4 e4f2 h1g1 d6g3 b4e1 f5e4 e1f2 g3g2
77,mate,white, e2e4 e7e5 d2d4 d7d6 d4d5 g8f6 b1c3 g7g6 f1b5 c8d7 b5d7 b8d7 g1f3 f8g7 e1g1 e8g8 c1g5 f8e8 d1d2 c7c6 g5h6 g7h6 d2h6 c6d5 c3d5 f6d5 e4d5 f7f6 g2g4 e5e4 f3d4 e8e5 f2f4 e5d5 d4e6 d8e7 f4f5 d7e5 h2h3 g6f5 f1f5 e7e6 a1f1 a8f8 g4g5 d5d1 f5f6 d1f1 f6f1 f8f1 g1f1 e6f5 f1e2 f5f3 e2d2 e5c4 d2e1 f3e3 e1f1 c4d2 f1g2 e3f3 g2h2 d2f1 h2g1 f1e3 h6e6 g8f8 e6d6 f8e8 d6b8 e8e7 b8b7 e7e6 b7c6 e6f5 c6f6
82,mate,black, e2e4 e7e5 f2f4 d7d6 f1c4 g8f6 d2d3 c8d7 c2c3 b7b5 c4b3 b8c6 d3d4 f6e4 g1f3 d7g4 b1d2 e4d2 c1d2 e5d4 e1g1 f8e7 d1e1 d4d3 f3g5 e8g8 e1g3 e7g5 g3g4 g5f6 f4f5 c6e5 g4g3 c7c5 a1e1 c5c4 b3d1 a8b8 b2b3 b5b4 b3c4 b4c3 d2c3 e5c4 c3f6 d8f6 d1b3 f6d4 g1h1 d3d2 e1d1 c4e3 f1f4 d4c3 f4f3 c3c1 f3e3 b8b3 h2h3 c1d1 h1h2 b3e3 g3e3 d1e1 e3e1 d2e1q a2a4 e1e5 h2g1 f8c8 h3h4 c8c1 g1f2 e5e1 f2f3 c1c3 f3g4 e1e4 g4h5 c3g3 a4a5 e4g4
